Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
YOSEMITE,Travis Scott,8/3/2018,646744185.0,68.0,"161,578,216","25,055,075",0.785,0.554,0.144,128.047,-6.571,0.283,0.0409,3.4e-06,0.116,house,True,75,2018
Pretty Savage,BLACKPINK,10/2/2020,435823355.0,64.0,"284,536,285","1,021,702,238",0.699,0.588,0.35,151.971,-6.533,0.00807,0.0402,0.000131,0.107,k-pop,False,71,2020
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,8/15/2021,149351877.0,61.0,"365,670,176","60,033,835",0.428,0.467,0.193,90.831,-4.904,0.68,0.0327,0.0,0.135,pop,False,69,2021
Feel So Close - Radio Edit,Calvin Harris,1/1/2011,991382346.0,79.0,"7,412,771","502,553,641",0.707,0.924,0.919,127.937,-2.842,0.000972,0.031,0.00703,0.204,electro,False,80,2011
Young,Vacations,12/9/2016,597591280.0,74.0,"105,282,082","1,487,039,791",0.498,0.81,0.594,79.935,-4.065,0.00392,0.0263,0.00717,0.0635,indie,False,83,2016
MALA SANTA,Becky G,10/11/2019,189969086.0,54.0,"474,789,534","252,838,869",0.851,0.701,0.527,98.039,-3.649,0.311,0.0396,0.000211,0.163,reggaeton,False,65,2019
Renegades,X Ambassadors,3/17/2015,785571181.0,70.0,"492,974,141","74,904,030",0.526,0.862,0.528,90.052,-6.003,0.0144,0.0905,0.0597,0.229,alt-rock,False,76,2015
Snow (Hey Oh),Red Hot Chili Peppers,5/9/2006,1070374387.0,74.0,"710,124,074","835,564,684",0.427,0.9,0.599,104.655,-3.674,0.116,0.0499,1.75e-05,0.119,alt-rock,False,80,2006
You should be sad,Halsey,11/8/2019,557921212.0,64.0,"61,717,959","41,811,499",0.591,0.585,0.324,110.94,-6.35,0.143,0.0277,0.0,0.109,electro,True,73,2019
Sing Me to Sleep,Alan Walker,1/1/2016,381501023.0,56.0,"933,353,581","133,544,796",0.474,0.622,0.158,176.062,-6.381,0.0129,0.061,3.82e-06,0.327,electro,False,66,2016
Ex's & Oh's,Elle King,1/1/2014,501915477.0,66.0,"317,068,971","29,687,816",0.612,0.921,0.446,139.988,-2.882,0.0183,0.085,0.0,0.0576,blues,False,73,2014
Way Back Home,SHAUN,6/27/2018,211581810.0,63.0,"137,544,172","3,149,064,834",0.745,0.739,0.556,99.913,-4.591,0.405,0.0327,0.000183,0.127,k-pop,False,71,2018
NDA,Billie Eilish,7/9/2021,333792226.0,70.0,"82,079,675","536,488,373",0.765,0.373,0.554,85.016,-9.921,0.341,0.0713,0.525,0.112,electro,True,77,2021
A Ella,KAROL G,5/5/2017,365062854.0,71.0,"893,949,453","109,160,109",0.73,0.769,0.594,181.988,-4.936,0.244,0.178,2.06e-05,0.136,reggae,False,3,2017
Who's Laughing Now,Ava Max,7/30/2020,218674366.0,57.0,"242,536,989","72,001,415",0.648,0.641,0.505,184.021,-5.521,0.00565,0.0389,3.63e-06,0.109,dance,False,2,2020
In the morning,ITZY,4/30/2021,205110323.0,60.0,"371,693,639","550,643,662",0.846,0.814,0.722,140.055,-4.685,0.0823,0.149,0.00094,0.13,k-pop,False,72,2021
SEJODIOTO,KAROL G,9/21/2021,350738636.0,66.0,"154,323,126","351,428,481",0.822,0.736,0.679,175.93,-3.969,0.157,0.15,0.000781,0.0748,reggae,True,0,2021
Country Girl (Shake It For Me),Luke Bryan,1/1/2011,464203349.0,70.0,"192,327,944","136,935,165",0.644,0.904,0.672,105.969,-4.532,0.0295,0.0464,0.0,0.0834,country,False,2,2011
Stupid Love,Lady Gaga,2/28/2020,377746254.0,62.0,"192,582,605","102,362,534",0.68,0.825,0.784,117.987,-4.296,0.00173,0.0702,0.000122,0.27,dance,False,0,2020
Doin' Time,Lana Del Rey,8/30/2019,680707791.0,74.0,"48,297,331","184,535,006",0.641,0.559,0.523,144.982,-11.132,0.404,0.0355,0.00402,0.0937,pop,True,0,2019
Come & Get It,Selena Gomez,1/1/2013,412118303.0,64.0,"863,861,067","931,798,909",0.552,0.783,0.575,79.984,-4.138,0.00887,0.0504,0.00026,0.0954,dance,False,0,2013
I.F.L.Y.,Bazzi,7/18/2019,593718503.0,65.0,"229,847,460","728,210,556",0.812,0.519,0.554,104.954,-4.823,0.379,0.0385,0.0,0.13,electro,True,74,2019
my future,Billie Eilish,7/30/2020,461892532.0,64.0,"175,821,589","123,540,119",0.444,0.309,0.0875,104.745,-10.956,0.795,0.062,0.132,0.352,electro,False,72,2020
God is a woman,Ariana Grande,7/13/2018,1064927546.0,70.0,"120,105,486","2,480,889",0.602,0.658,0.268,145.031,-5.934,0.0233,0.0558,6e-05,0.237,dance,True,80,2018
Tera Fitoor,Arijit Singh,7/12/2018,108748134.0,68.0,"900,050,812","331,691",0.576,0.688,0.726,135.984,-5.136,0.346,0.0319,0.0439,0.262,pop-film,False,66,2018
Traicionera,Sebastian Yatra,6/24/2016,650511999.0,67.0,"795,920,437","60,797,733",0.779,0.675,0.63,91.006,-4.976,0.138,0.0485,0.0,0.105,reggae,False,4,2016
Kokomo,The Beach Boys,6/17/2022,271362772.0,25.0,,,0.682,0.635,0.927,115.584,-10.05,0.00863,0.0346,0.0,0.137,psych-rock,False,71,2022
Fuentes de Ortiz,Ed Maverick,3/2/2018,583209382.0,71.0,"561,013,544","187,698,778",0.83,0.159,0.189,104.95,-14.461,0.946,0.0383,2.02e-05,0.362,indie,True,0,2018
MEMORIES!,347aidan,6/18/2021,225962467.0,62.0,"25,819,662","421,102,345",0.835,0.381,0.31,154.973,-6.121,0.757,0.342,4.59e-06,0.121,sad,False,76,2021
Morado,J Balvin,1/9/2020,485274842.0,58.0,"257,045,287","96,188,508",0.881,0.696,0.781,97.002,-3.838,0.136,0.0797,4.06e-05,0.0927,latin,False,2,2020
Dil Meri Na Sune,Atif Aslam,7/27/2018,52282360.0,56.0,"943,920,245","19,935",0.574,0.729,0.47,163.748,-4.2,0.349,0.0473,1.85e-06,0.664,pop-film,False,62,2018
